out_publicKey,in_publicKey,datetime,norm_trust,trust
1615,1281,2012-01-04T12:30:30.828390,0.2556,2
1615,1289,2013-08-05T16:04:43.708210,0.17609,4
1615,1334,2012-06-21T20:56:59.276120,0.30103,1
1615,1316,2012-05-22T12:31:31.564340,0.2139,3
1615,1650,2012-01-04T20:51:55.711770,0.1413,5
1615,1655,2011-12-23T15:41:49.723600,0.30103,1
1615,1653,2012-05-02T10:20:23.563730,0.30103,1
1615,1814,2012-02-21T19:07:28.814980,0.30103,1
1615,192,2012-05-22T12:33:01.195900,0.30103,1
1615,1842,2012-03-04T05:05:26.199550,0.30103,1
1615,2179,2012-06-13T18:27:44.981650,0.30103,1
1615,2241,2012-09-11T10:04:03.532790,0.2139,3
1615,25,2012-05-19T19:26:24.763130,0.2139,3
1615,3340,2013-01-16T11:13:45.326790,0.30103,1
1615,425,2012-05-22T12:40:58.583330,0.2139,3
1615,775,2011-12-29T10:05:41.373400,0.30103,1
4525,4301,2013-07-06T17:58:03.972790,0.30103,1
2325,2045,2012-09-18T15:13:29.074540,0.30103,1
1615,1465,2012-02-05T09:04:55.286380,0.30103,1
2325,4197,2013-07-18T17:38:16.130590,0.30103,1
492,1066,2011-06-11T15:32:23.569210,0.30103,1
492,1267,2011-07-02T14:39:54.034130,0.30103,1
492,1529,2012-08-22T14:32:04.906770,0.30103,1
492,1114,2011-06-13T13:54:24.791970,0.30103,1
492,2404,2012-08-22T20:41:29.507100,0.30103,1
492,1300,2011-07-04T09:31:04.209590,0.30103,1
492,3106,2012-12-05T12:57:19.052310,0.2556,2
492,1912,2012-08-23T17:51:26.591840,0.30103,1
1615,2007,2012-04-26T19:23:25.155080,0.30103,1
492,2770,2012-10-26T17:45:53.521640,0.30103,1
2325,2125,2012-07-22T21:51:20.410100,0.30103,1
492,550,2012-08-15T19:42:12.792080,0.30103,1
2991,1953,2012-11-13T16:39:21.455380,0.30103,1
517,476,2011-05-11T02:08:27.804020,0.30103,1
492,1073,2011-06-11T18:11:12.451470,0.30103,1
1615,3058,2012-11-26T07:33:51.117350,0.30103,1
492,1116,2011-06-12T16:18:21.645270,100.0,-10
1615,1396,2012-05-22T12:34:29.470580,0.30103,1
492,1302,2011-07-05T12:53:34.390070,0.30103,1
3090,1810,2012-11-30T14:03:40.581120,0.30103,1
1615,70,2012-06-17T12:52:44.520750,0.2556,2
1615,1686,2012-01-11T10:09:39.570720,0.1413,5
4525,3986,2013-07-06T17:56:57.436800,0.30103,1
1615,1792,2012-06-20T16:02:24.150180,0.3468,-1
492,714,2011-06-12T20:05:31.630320,0.30103,1
2325,3735,2013-05-02T21:21:33.004490,0.30103,1
2030,2198,2012-08-07T19:00:12.449870,0.17609,4
492,1053,2012-10-08T22:53:48.564980,0.30103,1
1843,2169,2012-06-10T12:18:46.858360,0.30103,1
492,1113,2011-06-12T18:45:00.156860,0.30103,1
1615,1386,2012-08-30T18:34:53.916190,0.2139,3
1615,1185,2013-07-18T07:16:22.461680,0.1413,5
1843,2122,2012-06-04T06:33:21.424380,0.1413,5
1615,1785,2012-03-08T18:34:24.619730,0.2556,2
1615,1973,2012-09-21T10:15:15.566400,0.30103,1
1615,1671,2012-02-05T09:06:12.443250,100.0,-10
1615,2308,2012-07-16T13:02:56.780780,0.2556,2
1615,2748,2012-10-04T14:15:01.886890,0.30103,1
1615,35,2012-11-29T06:12:03.887980,0.2139,3
4993,5026,2013-11-18T09:14:17.846980,0.30103,1
1615,2152,2012-06-06T11:00:03.464950,0.30103,1
255,60,2011-04-08T15:05:47.821670,0.30103,1
1615,1317,2012-05-22T12:29:45.943150,0.30103,1
1615,2313,2013-06-17T11:53:01.437770,0.30103,1
4525,2235,2013-07-06T17:49:57.245900,0.2556,2
1615,1539,2012-03-19T07:23:17.832440,0.2139,3
492,1832,2012-10-06T20:16:14.019440,0.30103,1
374,28,2011-05-21T13:20:42.684800,0.30103,1
1615,36,2012-02-02T11:27:43.716280,0.30103,1
492,2725,2012-11-07T15:35:42.021890,0.30103,1
374,988,2011-06-11T07:13:06.354330,0.30103,1
492,1001,2011-06-08T19:11:17.488450,0.2556,2
4587,4597,2013-07-22T17:31:32.692700,100.0,-10
1615,7,2012-05-22T12:32:17.280150,0.30103,1
517,427,2011-05-13T01:07:24.296090,0.30103,1
2030,2067,2012-05-27T17:20:44.451880,0.2139,3
2325,1352,2013-02-09T05:45:04.965030,0.30103,1
1615,2080,2012-05-18T19:24:37.269790,0.0,10
1843,2043,2012-08-24T12:15:58.897240,0.30103,1
492,1296,2011-07-03T17:02:14.144970,0.30103,1
1955,2008,2012-04-27T18:41:03.375160,0.3979,-2
492,1,2012-08-15T14:16:32.579210,0.30103,1
2325,3233,2013-01-13T19:58:53.612230,0.30103,1
5654,5212,2014-07-02T04:19:48.692230,0.2139,3
492,1006,2011-06-08T20:30:26.345260,0.30103,1
492,2561,2012-09-18T15:34:51.982850,0.3468,-1
4993,4999,2013-11-10T14:17:16.422040,0.30103,1
492,1290,2011-07-04T09:15:12.800860,0.30103,1
492,1108,2011-06-12T01:08:14.539190,0.30103,1
492,908,2011-06-11T23:40:53.700500,0.0,10
1615,4939,2013-10-22T04:36:47.062600,0.30103,1
492,1299,2011-07-04T08:51:41.184570,0.30103,1
1529,1697,2012-01-06T07:21:32.272220,0.2556,2
631,523,2011-05-19T11:15:44.749140,0.2556,2
1843,1844,2012-03-06T10:49:40.541910,0.1413,5
4993,5058,2013-11-23T11:10:31.221950,0.30103,1
492,35,2012-11-01T08:53:53.420310,0.0792,7
1529,2067,2012-07-12T17:50:57.986430,0.2556,2
2325,2198,2012-07-21T03:12:01.389530,0.30103,1
4993,4897,2014-03-03T09:47:28.461860,0.30103,1
1529,2733,2012-11-11T18:36:54.958240,0.30103,1
492,4,2012-08-27T23:50:27.327170,0.1413,5
3434,13,2013-02-03T05:29:25.519080,0.30103,1
1529,729,2012-06-17T03:47:23.942410,0.30103,1
5034,4635,2013-11-19T00:34:53.595890,0.30103,1
2339,2090,2012-07-23T02:36:45.498480,0.30103,1
492,1092,2011-06-11T15:17:49.245050,0.30103,1
374,346,2011-05-18T05:47:07.673080,0.30103,1
4993,4810,2013-11-09T11:27:57.474820,0.30103,1
374,950,2011-06-07T07:13:23.669170,0.30103,1
4641,2880,2013-08-16T18:34:09.666300,0.30103,1
4993,3260,2013-11-18T09:52:21.235380,0.1413,5
492,1437,2012-08-16T11:37:12.044350,0.1413,5
4587,2125,2013-07-21T15:10:22.915610,0.2556,2
4993,4949,2014-03-21T08:26:50.553100,0.30103,1
3522,3521,2013-02-20T17:22:08.565050,0.30103,1
2030,2089,2012-05-30T02:00:12.721020,0.2556,2
2030,2016,2012-06-03T11:44:55.287650,0.2139,3
4479,3445,2013-06-27T02:45:14.527250,0.2556,2
492,2888,2012-10-27T03:40:57.410030,0.30103,1
5962,4205,2015-06-07T16:37:18.191070,0.2556,2
2030,2934,2012-12-08T07:23:17.629100,0.2556,2
2140,905,2012-06-04T18:36:09.599960,0.30103,1
1955,1896,2012-04-10T18:26:35.310450,0.30103,1
5622,4209,2014-06-09T20:26:49.049940,0.30103,1
5654,5316,2014-07-02T20:15:41.624970,0.2139,3
5654,2934,2014-07-05T08:09:26.527010,0.2139,3
374,931,2011-06-08T10:43:01.731550,0.30103,1
5654,481,2014-07-01T21:17:02.269780,0.2556,2
492,729,2011-06-28T20:21:19.230370,0.30103,1
925,469,2011-06-09T07:12:51.265360,0.30103,1
1529,1396,2012-08-20T14:25:18.010310,0.30103,1
1955,1867,2012-05-02T01:45:35.222860,0.30103,1
1529,1771,2012-03-25T23:47:00.857700,0.30103,1
5654,192,2014-07-06T18:53:18.068270,0.2139,3
1529,1502,2012-11-09T12:26:49.975960,0.30103,1
1529,2198,2012-08-09T01:53:30.486400,0.30103,1
1529,1840,2012-05-17T20:54:44.164250,0.30103,1
1529,2942,2013-08-15T22:29:21.545550,0.2556,2
1955,1953,2012-04-10T02:04:19.854460,0.2139,3
1529,1201,2013-03-19T23:37:56.273570,0.17609,4
1529,1885,2012-08-20T09:12:19.183100,0.30103,1
1019,1020,2011-06-09T02:26:56.308430,0.30103,1
1529,4172,2015-02-16T19:51:30.194970,0.1413,5
1529,2654,2012-10-05T23:18:40.494190,0.30103,1
1529,1352,2012-09-28T17:20:26.454850,0.30103,1
3819,35,2013-04-03T02:15:03.095950,0.2556,2
1529,4254,2013-07-22T22:33:21.025310,0.30103,1
1529,1566,2011-11-14T16:12:16.859490,0.30103,1
1964,1810,2012-04-14T11:48:38.184600,0.30103,1
2662,2655,2012-09-24T04:35:20.524190,0.30103,1
1529,2028,2012-10-04T16:07:36.493140,0.30103,1
1964,35,2012-04-26T14:58:39.393860,0.2556,2
1964,1922,2012-04-26T08:52:55.052820,0.30103,1
2097,2028,2012-08-23T11:33:32.288830,0.2556,2
2662,2289,2012-09-24T04:28:43.616730,0.30103,1
1529,2728,2012-10-04T15:00:04.457040,0.30103,1
4022,3571,2013-04-12T14:49:20.013750,0.30103,1
1529,469,2011-11-13T17:04:40.084300,0.30103,1
1964,546,2012-04-22T17:39:36.497300,0.30103,1
2473,2266,2012-08-21T12:11:57.423130,0.30103,1
1272,3781,2013-04-07T20:28:31.325800,0.30103,1
1964,1966,2012-04-14T17:38:19.212960,0.30103,1
1964,1744,2012-04-13T07:20:18.036180,0.30103,1
4022,3735,2013-04-23T22:56:18.254880,0.30103,1
1272,1273,2011-06-28T14:39:11.058110,0.30103,1
