Sensor_sensorName,timeStep,Tower_towerName
103318117,5,Bellevue
1032128,3,Fremont
1287761,2,UofWA
1240117,4,LakeCity
1302595,5,CentralDistrict
1303087,1,Belltown
1230452,3,UofWA
1303257,1,FirstHill
1236912,4,SeattleUniversity
1239093,3,WestLake
104302115,3,Medina
1302111,4,Belltown
1239711,4,CentralDistrict
1048068,4,Burien
1303963,2,WarrenMagnusonPark
1010054,1,Kennydale
1004639,2,WhiteCenter
128216313,1,Eastgate
1301174,5,HallerLake
1027838,3,BeaconHill
1269409,2,Broadview
1306931,1,Georgetown
1290383,2,Georgetown
126947610,1,Eastgate
1242364,1,Youngstown
1031129,5,Youngstown
1059502,5,Burien
1054325,2,HarborIsland
1280298,2,Greenwood
1031441,3,WhiteCenter
1034753,5,MountBaker
1270653,1,HarborIsland
1235466,2,Georgetown
1049757,5,Evergreen
1270717,5,WestLake
1248589,1,Fremont
1246797,1,UofWA
1223234,1,Burien
1306548,1,Belltown
1269463,5,GreenLake
1302111,2,Seattle
1288092,1,BeaconHill
1303963,5,Wallingford
1307187,2,MadisonValley
1059508,4,PioneerSquare
1280377,2,InternationalDistrict
1270795,1,PioneerSquare
1010054,5,Tukwila
1246177,2,MountBaker
1302832,3,Georgetown
1259695,5,WhiteCenter
1049589,3,SewardPark
1059188,2,BeaconHill
1247290,5,InternationalDistrict
1049757,1,Northgate
10430211,1,CougarMountainPark
1306434,5,SeattleUniversity
