out_publicKey,in_publicKey,trust,datetime
"6","2","4","2010-11-08T13:45:11.728360"
"6","5","2","2010-11-08T13:45:41.533780"
"1","15","1","2010-11-08T14:05:40.390490"
"4","3","7","2010-11-08T14:41:17.369750"
"13","16","8","2010-11-08T17:10:54.447460"
"13","10","8","2010-11-08T17:11:40.795140"
"7","5","1","2010-11-09T23:18:20.479130"
"2","21","5","2010-11-10T01:29:16.809380"
"2","20","5","2010-11-10T01:30:22.214730"
"21","2","5","2010-11-10T04:23:01.527870"
"21","1","8","2010-11-10T21:10:11.463650"
"21","10","8","2010-11-10T21:10:38.442600"
"21","8","9","2010-11-10T21:10:50.590060"
"21","3","7","2010-11-10T21:12:05.738310"
"17","3","5","2010-11-10T21:25:13.037110"
"17","23","1","2010-11-11T10:34:28.484860"
"10","1","8","2010-11-12T04:54:16.328980"
"10","6","7","2010-11-12T04:55:31.222170"
"10","21","8","2010-11-12T04:55:45.646630"
"10","8","1","2010-11-12T04:56:07.709500"
"10","25","10","2010-11-12T04:57:21.665080"
"10","2","7","2010-11-12T04:57:51.042330"
"10","3","7","2010-11-12T04:57:55.709580"
"4","26","1","2010-11-13T04:48:13.990290"
"26","4","1","2010-11-13T04:48:23.577850"
"5","1","3","2010-11-13T09:58:18.870480"
"5","6","3","2010-11-13T09:58:39.009820"
"5","7","1","2010-11-13T09:59:07.437950"
"1","5","4","2010-11-13T23:57:23.199630"
"6","4","2","2010-11-14T16:38:20.429300"
"4","6","5","2010-11-14T16:39:16.502970"
"2","4","5","2010-11-14T16:48:23.539290"
"17","28","1","2010-11-15T10:48:01.520990"
"17","13","2","2010-11-15T21:09:27.895380"
"13","17","2","2010-11-15T21:13:31.944520"
"13","29","2","2010-11-18T08:50:12.273320"
"29","13","2","2010-11-18T09:21:58.308820"
"17","20","2","2010-11-18T14:28:06.688680"
"4","31","1","2010-11-19T15:12:29.130820"
"31","4","2","2010-11-19T15:12:34.484220"
"32","6","1","2010-11-20T19:47:21.669250"
"13","1","8","2010-11-23T08:56:03.535960"
"7","34","1","2010-11-24T19:20:57.561570"
"34","7","1","2010-11-24T19:21:17.402130"
"32","1","1","2010-11-25T01:35:28.421630"
"1","32","1","2010-11-25T01:35:53.431750"
"1","34","1","2010-11-26T00:47:14.012490"
"34","1","1","2010-11-26T01:26:16.478860"
"34","13","1","2010-11-26T03:04:03.302070"
"13","34","1","2010-11-26T03:52:36.736900"
"6","7","5","2010-11-26T21:52:47.172110"
"7","6","3","2010-11-26T21:56:31.420340"
"1","17","9","2010-11-28T13:33:56.780190"
"1","31","2","2010-11-29T12:46:04.714540"
"31","1","3","2010-11-29T13:39:32.914390"
"35","6","2","2010-11-29T13:42:54.725960"
"1","13","3","2010-11-29T23:22:10.694810"
"36","37","1","2010-11-30T17:57:03.292160"
"37","36","1","2010-11-30T18:30:45.125560"
"35","1","1","2010-11-30T18:31:51.118910"
"17","1","9","2010-12-01T10:38:02.282990"
"8","1","3","2010-12-02T13:40:32.336980"
"7","29","2","2010-12-03T06:35:09.623850"
"1","20","2","2010-12-04T18:27:46.309930"
"37","44","1","2010-12-04T21:18:48.231590"
